timestamp,sensor_id,temperature,humidity,pressure,status
2024-01-01 00:00:00,SENSOR_016,21.84,62.43,1012.4,Warning
2024-01-01 00:00:10,SENSOR_002,23.44,65.99,1011.13,Normal
2024-01-01 00:00:20,SENSOR_031,31.13,72.19,1016.84,Normal
2024-01-01 00:00:30,SENSOR_004,26.28,75.02,1014.08,Normal
2024-01-01 00:00:40,SENSOR_027,20.26,30.82,1006.94,Normal
2024-01-01 00:00:50,SENSOR_036,30.48,42.07,997.8,Normal
2024-01-01 00:01:00,SENSOR_021,18.78,74.23,1020.37,Normal
2024-01-01 00:01:10,SENSOR_049,29.59,75.85,1011.0,Critical
2024-01-01 00:01:20,SENSOR_027,34.98,40.75,999.9,Normal
2024-01-01 00:01:30,SENSOR_003,23.54,45.42,992.99,Normal
2024-01-01 00:01:40,SENSOR_049,19.54,38.01,1029.52,Normal
2024-01-01 00:01:50,SENSOR_042,29.68,74.15,1000.51,Normal
2024-01-01 00:02:00,SENSOR_025,33.11,46.23,1016.81,Normal
2024-01-01 00:02:10,SENSOR_032,26.82,66.09,1016.25,Normal
2024-01-01 00:02:20,SENSOR_005,16.28,76.54,1016.08,Normal
2024-01-01 00:02:30,SENSOR_050,22.72,51.82,994.8,Normal
2024-01-01 00:02:40,SENSOR_012,17.13,35.36,996.35,Normal
2024-01-01 00:02:50,SENSOR_008,18.3,63.12,1009.19,Normal
2024-01-01 00:03:00,SENSOR_026,25.03,64.83,1016.16,Normal
2024-01-01 00:03:10,SENSOR_029,23.33,67.06,1013.56,Normal
2024-01-01 00:03:20,SENSOR_043,15.16,37.76,1022.92,Normal
2024-01-01 00:03:30,SENSOR_042,27.82,62.97,1022.85,Normal
2024-01-01 00:03:40,SENSOR_013,30.45,63.43,1004.65,Normal
2024-01-01 00:03:50,SENSOR_030,28.12,59.31,1015.74,Normal
2024-01-01 00:04:00,SENSOR_002,24.21,77.13,995.56,Normal
2024-01-01 00:04:10,SENSOR_007,31.31,76.32,996.83,Normal
2024-01-01 00:04:20,SENSOR_017,23.4,39.57,1015.33,Normal
2024-01-01 00:04:30,SENSOR_046,24.95,47.34,1017.63,Normal
2024-01-01 00:04:40,SENSOR_042,32.4,60.65,1021.31,Normal
2024-01-01 00:04:50,SENSOR_019,18.81,31.2,995.11,Normal
2024-01-01 00:05:00,SENSOR_036,15.28,47.63,1026.08,Normal
2024-01-01 00:05:10,SENSOR_028,19.89,50.67,996.94,Normal
2024-01-01 00:05:20,SENSOR_003,16.55,52.33,1000.68,Normal
2024-01-01 00:05:30,SENSOR_009,28.62,51.5,1003.01,Normal
2024-01-01 00:05:40,SENSOR_007,29.56,72.94,1002.81,Normal
2024-01-01 00:05:50,SENSOR_016,32.37,74.95,996.18,Normal
2024-01-01 00:06:00,SENSOR_021,15.01,44.11,997.72,Normal
2024-01-01 00:06:10,SENSOR_025,34.76,49.59,1006.17,Normal
2024-01-01 00:06:20,SENSOR_036,27.48,54.34,1020.31,Normal
2024-01-01 00:06:30,SENSOR_032,22.05,31.09,1008.97,Normal
2024-01-01 00:06:40,SENSOR_013,22.87,45.32,1019.35,Normal
2024-01-01 00:06:50,SENSOR_036,24.93,30.2,1002.09,Normal
2024-01-01 00:07:00,SENSOR_039,34.28,57.41,1021.22,Critical
2024-01-01 00:07:10,SENSOR_032,16.73,59.0,1008.46,Normal
2024-01-01 00:07:20,SENSOR_008,73.96870960301501,53.35,1018.05,Normal
2024-01-01 00:07:30,SENSOR_034,15.24,72.69,997.68,Normal
2024-01-01 00:07:40,SENSOR_012,18.35,37.58,1021.29,Normal
2024-01-01 00:07:50,SENSOR_024,32.18,78.36,998.89,Normal
2024-01-01 00:08:00,SENSOR_043,26.99,35.19,1002.46,Normal
2024-01-01 00:08:10,SENSOR_025,15.18,59.62,1026.79,Normal
2024-01-01 00:08:20,SENSOR_009,24.98,56.43,1023.12,Normal
2024-01-01 00:08:30,SENSOR_032,27.98,31.35,1007.03,Normal
2024-01-01 00:08:40,SENSOR_048,33.22,50.51,1025.44,Normal
2024-01-01 00:08:50,SENSOR_017,20.7,60.93,1024.56,Normal
2024-01-01 00:09:00,SENSOR_008,15.13,74.04,1012.28,Normal
2024-01-01 00:09:10,SENSOR_042,34.03,61.15,1015.11,Normal
2024-01-01 00:09:20,SENSOR_020,16.01,48.09,996.25,Normal
2024-01-01 00:09:30,SENSOR_009,23.08,42.65,991.07,Normal
2024-01-01 00:09:40,SENSOR_046,61.1056879487506,31.87,1020.78,Normal
2024-01-01 00:09:50,SENSOR_019,29.08,65.27,1024.35,Normal
2024-01-01 00:10:00,SENSOR_023,33.36,72.23,1001.88,Normal
2024-01-01 00:10:10,SENSOR_035,20.74,77.34,1010.73,Normal
2024-01-01 00:10:20,SENSOR_048,34.07,67.32,1019.77,Normal
2024-01-01 00:10:30,SENSOR_001,20.68,57.7,1011.22,Normal
2024-01-01 00:10:40,SENSOR_011,23.88,33.95,1003.51,Normal
2024-01-01 00:10:50,SENSOR_005,32.95,66.21,998.32,Normal
2024-01-01 00:11:00,SENSOR_046,29.67,73.49,1026.79,Normal
2024-01-01 00:11:10,SENSOR_045,19.25,44.93,1020.1,Normal
2024-01-01 00:11:20,SENSOR_040,30.23,74.59,1015.46,Normal
2024-01-01 00:11:30,SENSOR_024,16.0,47.36,1003.63,Normal
2024-01-01 00:11:40,SENSOR_011,17.31,67.9,997.02,Normal
2024-01-01 00:11:50,SENSOR_012,17.86,68.29,997.33,Normal
2024-01-01 00:12:00,SENSOR_002,24.19,65.29,1000.77,Normal
2024-01-01 00:12:10,SENSOR_005,20.85,75.5,999.32,Normal
2024-01-01 00:12:20,SENSOR_008,20.67,79.15,991.56,Normal
2024-01-01 00:12:30,SENSOR_009,17.56,44.36,1013.78,Normal
2024-01-01 00:12:40,SENSOR_011,27.71,64.19,999.15,Warning
2024-01-01 00:12:50,SENSOR_044,22.37,54.01,1013.31,Normal
2024-01-01 00:13:00,SENSOR_036,16.18,67.0,1024.58,Normal
2024-01-01 00:13:10,SENSOR_017,21.6,78.46,996.31,Warning
2024-01-01 00:13:20,SENSOR_008,28.48,58.4,997.46,Warning
2024-01-01 00:13:30,SENSOR_009,16.95,38.14,1009.65,Normal
